"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Transporter 3 (EN)
The Transporter 3 (EN)
Транспортер 3 (BG)
Kurýr 3 (CS)
Transporter 3 (EL)
El Transportador 3 (ES)
El transportador 3 (ES)
Transporter 3 (ES)
El transportador 3 (ES)
El transportador 3 (ES)
Riskikuller 3 (ET)
Le transporteur 3 (FR)
Transporter 3 (HR)
A Szállító (HU)
A szállító 3. (HU)
Transporter 3: Unlimited (JA)
Transporteris 3 (LT)
Kurjers 3 (LV)
Transporter 3 (NO)
Transporter - Correio de risco 3 (PT)
Carga Explosiva 3 (PT)
Transporter - Correio de Risco 3 (PT)
Curierul 3 (RO)
Перевозчик-3 (RU)
Kuriér 3 (SK)
Prenašalec 3 (SL)
Prenasalec 3 (SL)
Tasiyici 3 (TR)
Перевiзник 3 (UK)
Transporter 3 (XX)
Le transporteur 3 (XX)
Wanming kuaidi 3 (XX)
Payk 3 (XX)
El transportador 3 (XX)";"FR / GB";"2008";"Olivier Megaton";"4 323 311"
"Podium (FR)
Superstar (CS)
O sosias (EL)
Pódium (HU)
Podium (PT)
Viata de scena (RO)
Подиум (RU)
Na odru (SL)
Podium (XX)
Podium (XX)";"FR / BE";"2004";"Yann Moix";"4 221 757"
"Taxi 5 (FR)
Такси 5 (BG)
5ta a fondo (ES)
Taksi 5 (LT)
Táxi 5 (PT)
Taxi 5 (RO)
Такси 5 (RU)
Taksi 5 (TR)
Таксi 5 (UK)
Taxi 5 (XX)
Taxi 5 (XX)
Taxi be'hiloukh 5 (XX)";"FR";"2018";"Franck Gastambide";"4 155 236"
"Les profs (FR)
Serial Teachers (EN)
School Camp - Fies gegen mies (DE)
Les Profs (FR)
Nagytudásúak (HU)
Cialo pedagogiczne (PL)
Os Profs (PT)
Безумные преподы (RU)
Amman Hocam (TR)
Les Profs (XX)
Serial Teachers (XX)";"FR";"2013";"Pierre-François Martin-Laval";"4 144 588"
"Captain Corelli's Mandolin (EN)
Капитан Корели (BG)
Mandolina Kapitana Corelliho (CS)
Kaptajn Corellis mandolin (DA)
Corellis Mandoline (DE)
To mantolino toy lochagoy Korelli (EL)
To mandolino tou lohagou Corelli (EL)
Το μαντολίνο του λοχαγού Κορέλι (EL)
La mandolina del Capitan Corelli (ES)
La mandolina del capitán Corelli (ES)
La mandolina del capitán Corelli (ES)
La mandolina del capitán Corelli (ES)
Kapten Corelli mandoliin (ET)
Kapteeni Corellin mandoliini (FI)
La mandoline du capitaine Corelli (FR)
Capitaine Corelli (FR)
Mandolina kapetana Corellija (HR)
Corelli kapitany (HU)
Corelli kapitány mandolinja (HU)
Il mandolino del capitano Corelli (IT)
Kapitono Korelio mandolina (LT)
Kaptein Corellis mandolin (NO)
Kapitan Corelli (PL)
O capitao Corelli (PT)
O Capitão Corelli (PT)
O Capitão Corelli (PT)
Idila Capitanului Corelli (RO)
Idila capitanului Corelli (RO)
Выбор капитана Корелли (RU)
Corellijeva madolina (SL)
Mandolina kapetana Korelija (SR)
Kapten Corellis mandolin (SV)
Corelli'nin Mandolini (TR)
Captain Corelli's Mandolin (XX)
La mandoline du capitaine Corelli (XX)";"GB / FR / US";"2001";"John Madden";"4 134 696"
"Camping 2 (FR)
Кемпинг 2 (RU)
Camping 2 (XX)";"FR";"2010";"Fabien Onteniente";"4 096 962"
"LOL (Laughing Out Loud) ® (FR)
Lol (EN)
Lol (Laughing Out Loud) (DE)
LoL (EL)
Pethaino sta gelia (EL)
Lol (Laughing Out Loud)® (ES)
Lol@ (ES)
Lol (FR)
LOL - Zűrös kamaszok (HU)
LOL - Il tempo dell'amore (IT)
LOL (LT)
LoL (PL)
Rindo A Toa (PT)
Rindo à Toa (PT)
LOL [pжунимагу] (RU)
LOL (SV)
LOL (Laughing Out Loud) ® (XX)
LOL (XX)";"FR";"2008";"Lisa Azuelos";"4 066 628"
"Taken (EN)
96 Hours (EN)
Твърде лично (BG)
96 hodin (CS)
96 Hodin (CS)
Taken (DA)
96 Hours (DE)
I arpagi (EL)
Η αρπαγή (EL)
Venganza (ES)
Búsqueda implacable (ES)
Búsqueda implacable (ES)
Búsqueda implacable (ES)
Búsqueda implacable (ES)
Röövitud (ET)
Taken (FI)
Taken (FR)
96 sati (HR)
Oteta (HR)
Elrabolva (HU)
Io Vi Trovero' (IT)
Io vi troverò (IT)
Taken - Io vi troverò (IT)
96-jikan (JA)
Pagrobimas (LT)
Nolaupītā (LV)
Nolaupiitaa (LV)
Taken (NO)
Uprowadzona (PL)
Busca implacável (PT)
Busca Implacável (PT)
Busca Implacável (PT)
Teroare in Paris (RO)
Заложница (RU)
96 hodín (SK)
Ugrabljena (SL)
96 sati (SR)
Oteta (SR)
Taken (SV)
96 saat (TR)
Викрадена (UK)
Taken (XX)
L'enlèvement (XX)
Búsqueda implacable (XX)";"FR / US / GB";"2008";"Pierre Morel";"4 057 191"
"Alibi.com (FR)
Άλλοθι για παντρεμένους (EL)
Alibi.com, agencia de engaños (ES)
Cómplices.com (ES)
Alibi.com (PT)
SuperАлиби (RU)
SuperАЛIБI (UK)
Alibi.com (XX)";"FR";"2017";"Philippe Lacheau";"4 043 627"
"A Shaun the Sheep Movie: Farmageddon (EN)
A Shaun the Sheep Movie: Farmageddon (EN)
Shaun The Sheep Movie: Farmageddon (EN)
Shaun the Sheep Movie: Farmageddon (EN)
F for får filmen - Fårmageddon (DA)
Shaun das Schaf - Der Film: UFO-Alarm (DE)
Σον το Πρόβατο: Η Ταινία - Φαρμαγεδών (EL)
La oveja Shaun. La película: Granjaguedón (ES)
Lammas Shaun.Film.Farmigeddon (ET)
Late Lammas -elokuva: Farmageddon (FI)
Shaun le mouton, le film: la ferme contre-attaque (FR)
Shaun, a bárány és a farmonkívüli (HU)
Shaun, vita da pecora: Farmageddon - Il film (IT)
Shaun Kivson Aff al Ha'Khalal (IW)
映画　ひつじのショーン UFOフィーバー！ (JA)
Aviuko Sono filmas. Farmagedoinas (LT)
Auniņš Šons filma: Fermagedons (LV)
Shaun het Schaap de film: Het Ruimteschaap (NL)
Sauen Shaun filmen: Farmageddon (NO)
Baranek Shaun Film. Farmageddon (PL)
Shaun, o Carneiro: Aliens (PT)
A Ovelha Choné - O Filme: A Quinta Contra-Ataca (PT)
Барашек Шон: Фермагеддон (RU)
Ovčica Šone: Farmagedon (SR)
Fåret Shaun Filmen: Farmageddon (SV)
Kuzular Firarda: Uzay Parkı (TR)
Баранчик Шон: Фермагеддон (UK)
Xiao Yang Xiao En 2: Mo Ri Nong Chang (XX)
笑笑羊大電影：外星人來了 (XX)
A Shaun the Sheep Movie: Người Bạn Ngoài Hành Tinh (XX)";"GB / US / FR";"2019";"Will Becher
Richard Phelan";"4 041 511"
