"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Les aventures extraordinaires d'Adèle Blanc-Sec (FR)
The Extraordinary Adventures of Adèle Blanc-Sec (EN)
Адел и проклятието на пирамидите (BG)
Tajemství mumie (CS)
Adèle and the Secret of the Mummy (DA)
Adèle und das Geheimnis des Pharaos (DE)
Oi apisteftes peripeteies tis Adele (EL)
Adele y el misterio de la momia (ES)
Adèle y el misterio de la momia (ES)
Las momias del faraón (ES)
Adèle Blanc-Secin uskomattomat seikkailut (FI)
Adèle and the Secret of the Mummy (FI)
Pustolovine Adèle Blanc-Sec (HR)
Adele és a Múmiák rejtélye (HU)
Adéle és a múmiák rejtélye (HU)
Adele E L'Enigma Del Faraone (IT)
Adèle e l'enigma del faraone (IT)
Adèle (JA)
Adele ir mumijos paslaptis (LT)
Adèle and the Secret of the Mummy (NO)
Niezwykle przygody Adeli Blanc-Sec (PL)
As Múmias do Faraó (PT)
As Múmias do Faraó - As Aventuras de Adèle Blanc-Sec - (PT)
Aventurile extraordinare ale Adelei (RO)
Необычайные приключения Адель (RU)
Tajomstvo múmie (SK)
Neverovatne avanture Adèle Blanc-Sec (SR)
Adèle and the Secret of the Mummy (SV)
Adele och mumiens hemlighet (SV)
The Extraordinary Adventures of Adèle Blanc-Sec (SV)
Adèle'nin olaganüstü maceralari (TR)
Неймовiрнi пригоди Адель Блан-Сек (UK)
Les aventures extraordinaires d'Adèle Blanc-Sec (XX)
Harpatkeoteha ha'muflaot shel Adele (XX)
Adèle: Rise of the Mummy (XX)
Adèle: Rise of the Mummy (XX)
Las momias del faraón (XX)
Adèle and the Secret of the Mummy (XX)
The Extraordinary Adventures of Adèle Blanc-Sec (XX)";"FR";"2010";"Luc Besson";"2 278 842"
"Persepolis (FR)
Персеполис (BG)
Persepolis (CS)
Persepolis (DE)
Persepolis (EL)
Persépolis (ES)
Persépolis (ES)
Persépolis (ES)
Persepolis (FI)
Persepolis (HU)
Persepolis (IT)
Persepolis (NO)
Persepolis (PL)
Persépolis (PT)
Persepolis (RO)
Персеполис (RU)
Persepolis (SK)
Persepolis (SL)
Persepolj (SR)
Persepolis (SV)
Persepolis (TR)
Персеполiс (UK)
Persepolis (XX)
Persepolis (XX)";"FR";"2007";"Vincent Paronnaud
Marjane Satrapi";"2 258 654"
"Kirikou et les bêtes sauvages (FR)
Kirikou and the Wild Beasts (EN)
Kirikou and the Wild Beast (EN)
Кирику и дивите животни (BG)
Kirikou Og De Vilde Dyr (DA)
Kirikou og de vilde dyr (DA)
Kiriku und die wilden Tiere (DE)
O Kirikou kai ta agria thiria (EL)
Kiriku Y Las Bestias Salvajes (ES)
Kirikou y las bestias salvajes (ES)
Kirikou ja viidakon eläimet (FI)
Kirikou és a vadállatok (HU)
Kirikou og Villidýrin (IS)
Kirikù e gli animali selvaggi (IT)
Kirikou en de wilde dieren (NL)
Kirikou og Villdyrene (NO)
Kirikou og villdyrene (NO)
Kirikou i dzikie bestie (PL)
Kirikou (PT)
Kirikou e os Animais Selvagens (PT)
Kirikou si animalele salbatice (RO)
Кирику и дикие звери (RU)
Kirikou och vilddjuren (SV)
Кiрiку та дикi звiрi (UK)
Kirikou et les bêtes sauvages (XX)
Childhood of Kirikou (XX)
Kirikou and the Wild Beasts (XX)";"FR";"2005";"Michel Ocelot
Bénédicte Galup";"2 258 546"
"Danny the Dog (EN)
Unleashed (EN)
Unleashed (EN)
Unleashed (EN)
Дани кучето (BG)
Utržený ze řetězu (CS)
Danny the Dog (DA)
Unleashed - Entfesselt (DE)
Danny the Dog (EL)
Danny the Dog (ES)
Unleashed (FI)
Enchainé (FR)
Danny the Dog (FR)
Vjerni Danny (HR)
A nyakörv (HU)
Danny the Dog (IT)
Šuo Denis (LT)
Unleashed (NL)
Danny the Dog (NO)
Człowiek Pies (PL)
Czlowiek pies (PL)
Danny the Dog - Força Destruidora (PT)
Cão de Briga (PT)
Dresat Pentru A Ucide (RO)
Dresat pentru a ucide (RO)
Дэнни Цепной пес (RU)
Odtrhnutý z retaze (SK)
Verni Deni (SR)
Danny the Dog (SV)
Kir Zincirlerini (TR)
Kir zincirlerini (TR)
Деннi - пес (UK)
Unleashed (XX)
Enchaîné (XX)
Danny the Dog (XX)
Unleashed (XX)
Unleashed (XX)";"FR / GB";"2005";"Louis Leterrier";"2 251 109"
"The Family (EN)
We're a Nice Normal Family (EN)
Malavita (EN)
Подземно царство (BG)
Коза Ностра (BG)
Mafiánovi (CS)
Farvel til mafiaen (DA)
Malavita - The Family (DE)
Epikindyni oikogeneia (EL)
Επικίνδυνη οικογένεια (EL)
Familia peligrosa (ES)
Una familia peligrosa (ES)
Malavita (ES)
Perekond (Malavita) (ET)
Perekond (ET)
Mafiaperhe (FI)
Malavita (FR)
La famille (FR)
Malavita (HR)
Vérmesék (HU)
A Család (HU)
Cose nostre - Malavita (IT)
Ha'khevre ha'ra'im (IW)
Maravîta (JA)
Šeima (LT)
Малавита (MK)
Malavita: The Family (NL)
Farvel til mafiaen (NO)
Porachunki (PL)
A Família (PT)
Malavita (PT)
Malavita: O Familie Criminala (RO)
Малавита (RU)
Mafiánovci (SK)
Malavita (SL)
Malavita (SR)
Farväl till maffian (SV)
Belali Tanik (TR)
Малавiта (UK)";"FR / US";"2013";"Luc Besson";"2 244 101"
"Yves Saint Laurent (FR)
Ив Сен Лоран (BG)
Yves Saint Laurent (EL)
YSL (FR)
Yves Saint Laurent (HU)
Īvs Senlorāns (LV)
Yves Saint Laurent (PT)
Yves Saint Laurent (PT)
Yves Saint Laurent (RO)
Ив Сен-Лоран (RU)
Yves Saint Laurent (SL)
Iv Sen Loran (SR)
Iv Sen Loren (SR)
Yves Saint Laurent (TR)
Iв Сен-Лоран (UK)
Iv San Loghan (XX)
Iv Sen Loran (XX)
Yves Saint Laurent (XX)
Yves Saint Laurent (XX)
Yves Saint Laurent (XX)";"FR / BE";"2014";"Jalil Lespert";"2 228 468"
"La tête en friche (FR)
My Afternoons with Margueritte (EN)
Моите следобеди с Маргьорит (BG)
Mine eftermiddage med margueritte (DA)
Mine eftermiddage med Margueritte (DA)
Das Labyrinth der Wörter (DE)
Apogevmata me tin Margarita (EL)
Mis tardes con Margueritte (ES)
Mis tardes con Margarita (ES)
Päiväni Margueritten kanssa (FI)
Nem Beszélek Zöldségeket (HU)
Nem beszélek zöldségeket! (HU)
Popietes su Margerit (LT)
Møte med Margueritte (NO)
Moje popoludnia z Margueritte (PL)
Minhas Tardes com Margueritte (PT)
Чистый лист (RU)
Mina eftermiddagar med Margueritte (SV)
La tête en friche (XX)
La tête en friche (XX)
Ahar Ha'tzaharayim Bakfar Im Margueritte (XX)
My Afternoons with Margueritte (XX)";"FR";"2010";"Jean Becker";"2 206 439"
"La tour Montparnasse infernale (FR)
Stirb nicht zu langsam (DE)
A pokoli torony balekjai (HU)
Nu prea greu de ucis (RO)
Адский небоскреб (RU)
La tour Montparnasse infernale (XX)
Don't Die Too Hard! (XX)
La tour Montparnasse infernale (XX)
Don't Die Too Hard! (XX)";"FR";"2001";"Charles Nemes";"2 194 467"
"Belle et Sébastien, l'aventure continue (FR)
Belle & Sebastian: The Adventure Continues (EN)
Belle and Sebastien 2 (EN)
Belle & Sebastien på nye eventyr (DA)
Sebastian und die Feuerretter (DE)
Μπελ & Σεμπαστιάν 2: Η περιπέτεια συ... (EL)
Belle y Sebastián: La aventura continúa (ES)
Belle ja Sebastien: Seiklus jätkub (ET)
Belle és Sebastien: a kaland folytatódik (HU)
Belle & Sebastien - L'avventura continua (IT)
Bella i Sebastian 2 (PL)
Belle e Sebastião: A Aventura Continua (PT)
Bela in Sebastijan: pustolovščina se nadaljuje (SL)";"FR";"2015";"Christian Duguay";"2 192 599"
"Les Dalton (FR)
Lucky Luke and the Daltons (EN)
Die Daltons gegen Lucky Luke (DE)
Lucky Luke (DE)
Louki Louk enantion Dalton (EL)
Lucky Luke enantion Dalton (EL)
Los Dalton (ES)
Los Dalton contra Lucky Luke (ES)
Daltonin veljekset (FI)
La vraie vie des Dalton (FR)
Lucky Luke es a Daltonok (HU)
Lucky Luke és a Daltonok (HU)
Lucky Luke (PL)
Os irmãos Dalton (PT)
Os Daltons Contra Lucky Luke (PT)
Os Irmãos Dalton (PT)
Великолепная четвёрка (RU)
Daltoni (SR)
Bröderna Dalton (SV)
Les Dalton (XX)
The Daltons (XX)";"FR / DE / ES";"2004";"Philippe Haïm";"2 189 129"
"La cage dorée (FR)
The Gilded Cage (EN)
Позлатената клетка (BG)
Portugal, mon amour (DE)
La jaula dorada (ES)
Portugal, mon amour (ES)
Szerelem, Örökség, Portugál (HU)
Szerelem, örökség, portugál (HU)
A Gaiola Dourada (PT)
Золотая клетка (RU)
La cage dorée (XX)
La cage dorée (XX)
Ha'klouv ha'mouz'hav (XX)
The Gilded Cage (XX)";"FR";"2013";"Ruben Alves";"2 183 539"
"Un bonheur n'arrive jamais seul (FR)
Happiness Never Comes Alone (EN)
Щастието никога не идва само (BG)
Und nebenbei das große Glück (DE)
I agapi den erhetai moni (EL)
Η αγάπη δεν έρχεται μόνη (EL)
La felicidad nunca viene sola (ES)
A Boldogság Sosem Jár Egyedül (HU)
A boldogság sosem jár egyedül (HU)
Per fortuna che ci sei (IT)
Laime viena nevaikšto (LT)
Szczescie nigdy nie przychodzi samo (PL)
A Felicidade Nunca Vem Só (PT)
A Felicidade Nunca Vem Só (PT)
Любовь с препятствиями (RU)
Mutluluk Asla Yalniz Gelmez (TR)
Кохання з перешкодами (UK)
Un bonheur n'arrive jamais seul (XX)
Un bonheur n'arrive jamais seul (XX)
Happiness Never Comes Alone (XX)";"FR";"2012";"James Huth";"2 180 615"
